id,name,type,district,taluk,address,latitude,longitude,recognition_status,contact_phone,contact_email,official_source_id,last_verified,geocoding_status,geocoding_source,geocoded_at,geocoding_confidence,geocoding_query
tc-001,"Government Tool Room and Training Centre, Rajajinagar",KSDC-centre,Bengaluru Urban,,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-018,2026-09-05,FAILED,,,NONE,
tc-002,"Government Industrial Training Institute, Gundlupete",govt-ITI,Chamarajanagar,Gundlupete,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-019,2026-09-05,FAILED,,,NONE,
tc-003,ITI Directorate of Employment & Training (DET) — Mysuru Division Office,govt-ITI,Mysuru,,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-020,2026-09-05,FAILED,,,NONE,
tc-004,National Skill Training Institute (NSTI) Bengaluru,NSTI-central-institute,Bengaluru Urban,,"Outer Ring Road, Yeswanthpur, Bengaluru - 560022",13.032496,77.540702,govt-recognized,(080)29524112,nsti-bengaluru1@dgt.gov.in,src-021,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.458737+00:00,HIGH,"Outer Ring Road, Bengaluru, Karnataka, India"
tc-005,National Skill Training Institute for Women (NSTI-W) Bengaluru,NSTI-central-institute,Bengaluru Urban,,"Lakkasandra, Hombegowda Nagar, Bengaluru, Karnataka 560029",12.942941,77.597391,govt-recognized,080 2656 1955,nstiw-bengaluru@dgt.gov.in,src-022,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.459501+00:00,HIGH,"Lakkasandra, Bengaluru, Karnataka, India"
tc-006,Raman Industrial Training Centre Kamakshi Palya,Private ITI,Bengaluru Urban,,134 Kamalighi Palaya,,,private-recognized,9916579365,,src-024,2026-09-05,FAILED,,,LOW,"Kamalighi Palaya, Bengaluru, Karnataka, India"
tc-007,St Joseph Industrial Training Centre,Private ITI,Bengaluru Urban,,Ourlady Fatima Church H.M.T Post,12.970336,77.595084,private-recognized,,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.460338+00:00,HIGH,"St Joseph, Bengaluru, Karnataka, India"
tc-008,Muslim Orphanage Industrial Training Centre,Private ITI,Bengaluru Urban,,43 Dickenson Road,12.97448,77.614087,private-recognized,8025572059,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.460626+00:00,HIGH,"Dickenson Road, Bengaluru, Karnataka, India"
tc-009,"Globe I.T.C., Obalappa Garden, Bangalore",Private ITI,Bengaluru Urban,,"Obalappa Garden, Bangalore",,,private-recognized,9241409517,,src-024,2026-09-05,FAILED,,,LOW,"Obalappa Garden, Bengaluru, Karnataka, India"
tc-010,Sri Ayyappan I.T.C,Private ITI,Bengaluru Urban,,"MM Road Cross, JayaMahal, Nandidurg Road",12.974353,77.638576,private-recognized,08023433008,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.460980+00:00,HIGH,"MM Road Cross, Bengaluru, Karnataka, India"
tc-011,Bhuvan Industrial Training Centre Venkatala,Private ITI,Bengaluru Urban,,Venkatala Yalahnka,,,private-recognized,9448014408,,src-024,2026-09-05,FAILED,,,LOW,"Venkatala Yalahnka, Bengaluru, Karnataka, India"
tc-012,M V M Industrial Training Centre,Private ITI,Bengaluru Urban,,"15,16,17 Gangadhra Chetty Road Ulsoor lake",12.99447,77.593655,private-recognized,8025323255,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.461310+00:00,HIGH,"M V M, Bengaluru, Karnataka, India"
tc-013,M.C.E.B.T.I. Industrial Training Centre,Private ITI,Bengaluru Urban,,"No.87, 10th main road 3rd phase 3rd Block, Manjunath Nagar Rajajinagar-10",,,private-recognized,8792866664,,src-024,2026-09-05,FAILED,,,LOW,"M C E B T I, Bengaluru, Karnataka, India"
tc-014,The Association of Physically Handicapped Trg. Cen.,Private ITI,Bengaluru Urban,,Lingarajpuram Hennur Road,13.008744,77.622151,private-recognized,080-25805051,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.461806+00:00,HIGH,"Lingarajpuram Hennur Road, Bengaluru, Karnataka, India"
tc-015,NTTF Industrial Training Centre,Private ITI,Bengaluru Urban,,"# 40/40A, Electronic City, Hosur Road",12.856798,77.663238,private-recognized,080-42623513,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.462126+00:00,HIGH,"Electronic City, Bengaluru, Karnataka, India"
tc-016,Ghousia Industrial Training Institute,Private ITI,Bengaluru Urban,,Hosur Road Dharma Ram College,12.943002,77.594438,private-recognized,080-25536268,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.462310+00:00,HIGH,"Ghousia, Bengaluru, Karnataka, India"
tc-017,Maulana Azad National Urdu University-ITC,Private ITI,Bengaluru Urban,,"CA. Site No(P) 2, Jnanabharthi Layout 3rd Block Vaegarihalli R.V.C Post Bangalore-560059",12.923778,77.495786,private-recognized,8023181726,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.462591+00:00,HIGH,"560059, Bengaluru, Karnataka, India"
